time,open,high,low,close
1740643740,5994.25,5995,5991.75,5992
1740643920,5992,5993,5990.75,5992.25
1740644100,5992,5993,5991.5,5992.75
1740644280,5992.75,5994.25,5991.5,5994
1740644460,5994,5998,5994,5997.5
1740644640,5997.5,5998.5,5996,5996.5
1740644820,5996.5,5996.75,5995,5995.75
1740645000,5995.75,6000.25,5995.5,5998
1740645180,5997.75,6000,5997,5999.75
1740645360,5999.75,6001.5,5999.5,6000.25
1740645540,6000.5,6001.25,5999.75,6000.5
1740645720,6000.75,6001.25,5999.75,6000
1740645900,6000,6001.25,5999.75,6000.75
1740646080,6000.75,6001.75,6000,6001.5
1740646260,6001.5,6001.5,6000,6001
1740646440,6000.75,6003.25,6000.5,6003
1740646620,6003,6005,6002,6004
1740646800,6004,6004.5,6001.25,6002.75
1740646980,6002.5,6002.5,6000.25,6001.75
1740647160,6002,6004,6000.75,6001.25
1740647340,6001,6001,5999.75,6001
1740647520,6001,6002.25,5998.75,5998.75
1740647700,5998.75,5999.75,5997.25,5999
1740647880,5998.75,6001.75,5998.75,6000.25
1740648060,6000.5,6001.75,5999.25,6001.5
1740648240,6001.5,6004.25,6001.25,6003.5
1740648420,6003.5,6005,6002.75,6004.75
1740648600,6004.75,6005.25,6003,6004.75
1740648780,6004.75,6004.75,6003,6003.25
1740648960,6003,6004.5,6002.75,6004.25
1740649140,6004.5,6006.5,6003.5,6004.5
1740649320,6004.5,6004.75,6003.5,6004.5
1740649500,6004.75,6005,6003.75,6004.5
1740649680,6004.75,6007,6003.5,6006.25
1740649860,6006.5,6006.75,6004,6005
1740650040,6005.25,6006,6004.5,6005
1740650220,6005,6005.75,6004,6005.25
1740650400,6005.25,6006.25,6002.75,6003.5
1740650580,6003.5,6004.75,6003,6003.75
1740650760,6003.75,6004.25,6002,6003
1740650940,6002.75,6005.75,6002.5,6004.5
1740651120,6004.5,6004.75,6003.75,6004.25
1740651300,6004.25,6005.25,6004,6005
1740651480,6005.25,6005.75,6003.75,6003.75
1740651660,6003.5,6007,6003.5,6006.25
1740651840,6006.5,6008.25,6005.5,6006
1740652020,6005.75,6005.75,6004.5,6005
1740652200,6005.25,6005.5,6001.25,6002.25
1740652380,6002.5,6003.75,6002.5,6003.5
1740652560,6003.5,6004.5,6003.25,6004
1740652740,6004.25,6005.5,6004,6004.5
1740652920,6004.75,6004.75,6003.5,6003.5
1740653100,6003.75,6004.25,6003.25,6003.75
1740653280,6003.75,6004,6002,6004
1740653460,6004,6005.25,6004,6004.75
1740653640,6004.75,6005.25,6004.75,6004.75
1740653820,6005,6005.5,6004.75,6004.75
1740654000,6005,6006.25,6004.5,6005.25
1740654180,6005.5,6009,6005.5,6008.5
1740654360,6008.75,6009,6007.75,6008.5
1740654540,6008.5,6009.5,6007.5,6007.5
1740654720,6007.5,6008.75,6007.5,6007.5
1740654900,6007.5,6007.75,6006,6007.25
1740655080,6007.25,6008.5,6005.75,6008.25
1740655260,6008,6008.75,6007.5,6007.5
1740655440,6007.5,6008.75,6007.5,6007.75
1740655620,6007.75,6007.75,6006.5,6007.25
1740655800,6007,6008,6005.75,6006
1740655980,6006,6006.25,6004.75,6005.25
1740656160,6005,6005.25,6004.25,6005
1740656340,6005,6007,6004.5,6006.5
1740656520,6006.25,6007,6005.75,6006.5
1740656700,6006.5,6009.25,6006.5,6008.5
1740656880,6008.75,6009.5,6007.5,6008
1740657060,6008,6009,6007,6007.75
1740657240,6007.5,6008,6006.25,6007.5
1740657420,6007.75,6011,6007.75,6010.75
1740657600,6010.5,6012.25,6009.5,6012
1740657780,6011.75,6011.75,6009.25,6011.25
1740657960,6011.25,6011.75,6010.25,6010.75
1740658140,6010.75,6011.25,6009.25,6009.5
1740658320,6009.5,6010.25,6008.75,6008.75
1740658500,6009,6009.5,6007.75,6009
1740658680,6009,6011.25,6008.75,6010.75
1740658860,6010.75,6012,6010.75,6011.75
1740659040,6011.5,6011.75,6010,6010
1740659220,6010.25,6011.25,6010,6010.75
1740659400,6010.75,6012,6010.5,6011
1740659580,6010.75,6011.25,6009.25,6009.5
1740659760,6009.75,6011,6009.25,6010.5
1740659940,6010.5,6014.25,6010.25,6010.75
1740660120,6010.75,6014.5,6009.5,6012
1740660300,6012.25,6013,6009.5,6010.25
1740660480,6010.25,6011.5,6008.5,6008.5
1740660660,6008.5,6009,6006.75,6007.5
1740660840,6007.5,6008.5,6005.75,6007.5
1740661020,6007.75,6008,6006,6006.75
1740661200,6006.5,6008,6006,6008
1740661380,6008.25,6008.75,6005,6005.25
1740661560,6005.25,6008.25,6005.25,6007.5
1740661740,6007.5,6008.25,6007,6008.25
1740661920,6008.25,6008.75,6006.25,6007.25
1740662100,6007.25,6008.75,6007,6008.5
1740662280,6008.75,6009.75,6008,6009
1740662460,6009,6009.25,6005.5,6005.75
1740662640,6005.75,6006,6004.25,6005.5
1740662820,6005.5,6006,6003,6005.5
1740663000,6005,6007,5997,6005
1740663180,6005,6005.5,5996.25,5998.25
